Date,Total_Likes,Total_Follows
7/7/19,85131,85892
7/8/19,85168,85927
7/9/19,85208,85970
7/10/19,85314,86079
7/11/19,85338,86106
7/12/19,85444,86217
7/13/19,85504,86280
7/14/19,85614,86396
7/15/19,85680,86462
7/16/19,85711,86493
7/17/19,85729,86511
7/18/19,85738,86525
7/19/19,85839,86635
7/20/19,85890,86688
7/21/19,86105,86912
7/22/19,86177,86995
7/23/19,86259,87082
7/24/19,86335,87165
7/25/19,86371,87204
7/26/19,86377,87210
7/27/19,86378,87213
7/28/19,86402,87238
7/29/19,86469,87312
7/30/19,86533,87386
7/31/19,86557,87413
8/1/19,86607,87467
8/2/19,86645,87510
8/3/19,86760,87640
8/4/19,86787,87669
8/5/19,86807,87692
8/6/19,86814,87697
8/7/19,86870,87760
8/8/19,86956,87856
8/9/19,87181,88107
8/10/19,87307,88245
8/11/19,87368,88314
8/12/19,87419,88372
8/13/19,87554,88531
8/14/19,87609,88593
8/15/19,87646,88635
8/16/19,87780,88782
8/17/19,87821,88833
8/18/19,87862,88884
8/19/19,87884,88915
8/20/19,87919,88956
8/21/19,87949,88991
8/22/19,88027,89080
8/23/19,88079,89135
8/24/19,88153,89216
8/25/19,88204,89275
8/26/19,88297,89371
8/27/19,88431,89527
8/28/19,88529,89641
8/29/19,88596,89713
8/30/19,88659,89788
8/31/19,88694,89827
9/1/19,88719,89854
9/2/19,88759,89897
9/3/19,88839,89982
9/4/19,88905,90054
9/5/19,88925,90074
9/6/19,88943,90095
9/7/19,88961,90117
9/8/19,88987,90148
9/9/19,89095,90265
9/10/19,89212,90391
9/11/19,89244,90426
9/12/19,89277,90466
9/13/19,89295,90492
9/14/19,89331,90536
9/15/19,89359,90567
9/16/19,89387,90595
9/17/19,89406,90613
9/18/19,89423,90630
9/19/19,89446,90652
9/20/19,89457,90664
9/21/19,89520,90732
9/22/19,89535,90747
9/23/19,89600,90818
9/24/19,89687,90914
9/25/19,89760,90995
9/26/19,89791,91029
9/27/19,89914,91161
9/28/19,89960,91210
9/29/19,89991,91242
9/30/19,90025,91276
10/1/19,90065,91316
10/2/19,90109,91360
10/3/19,90205,91459
10/4/19,90304,91562
10/5/19,90397,91658
10/6/19,90534,91804
10/7/19,90628,91900
10/8/19,90656,91929
10/9/19,90668,91944
10/10/19,90689,91972
10/11/19,90802,92097
10/12/19,90912,92219
10/13/19,91012,92320
10/14/19,91066,92373
10/15/19,91088,92393
10/16/19,91226,92535
10/17/19,91277,92585
10/18/19,91299,92608
10/19/19,91320,92630
10/20/19,91332,92642
10/21/19,91364,92673
10/22/19,91486,92795
10/23/19,91507,92815
10/24/19,91530,92838
10/25/19,91548,92854
10/26/19,91639,92950
10/27/19,91726,93045
10/28/19,91743,93063
10/29/19,91835,93162
10/30/19,91869,93196
10/31/19,91905,93232
11/1/19,91970,93304
11/2/19,92015,93351
11/3/19,92054,93397
11/4/19,92129,93478
11/5/19,92223,93585
11/6/19,92281,93643
11/7/19,92345,93714
11/8/19,92394,93769
11/9/19,92527,93917
11/10/19,92646,94041
11/11/19,92673,94072
11/12/19,92700,94100
11/13/19,92780,94179
11/14/19,92820,94219
11/15/19,92848,94246
11/16/19,92864,94264
11/17/19,92883,94282
11/18/19,92905,94309
11/19/19,92936,94342
11/20/19,92967,94371
11/21/19,92992,94398
11/22/19,93040,94451
11/23/19,93117,94537
11/24/19,93121,94542
11/25/19,93219,94645
11/26/19,93246,94673
11/27/19,93281,94706
11/28/19,93292,94717
11/29/19,93319,94745
11/30/19,93352,94782
12/1/19,93388,94817
12/2/19,93408,94838
12/3/19,93422,94857
12/4/19,93445,94882
12/5/19,93475,94913
12/6/19,93566,95011
12/7/19,93586,95032
12/8/19,93602,95048
12/9/19,93625,95072
12/10/19,93640,95087
12/11/19,93652,95100
12/12/19,93666,95117
12/13/19,93675,95127
12/14/19,93733,95191
12/15/19,93747,95208
12/16/19,93761,95223
12/17/19,93762,95225
12/18/19,93763,95226
12/19/19,93794,95258
12/20/19,93805,95269
12/21/19,93825,95290
12/22/19,93841,95307
12/23/19,93859,95326
12/24/19,93868,95335
12/25/19,93868,95338
12/26/19,93870,95339
12/27/19,93893,95362
12/28/19,93942,95418
12/29/19,93950,95428
12/30/19,93952,95429
12/31/19,93958,95435
1/1/20,93997,95475
1/2/20,94009,95487
1/3/20,94007,95485
1/4/20,94025,95507
1/5/20,94030,95511
1/6/20,94027,95508
1/7/20,94031,95512
1/8/20,94035,95515
1/9/20,94036,95515
1/10/20,94040,95521
